
2023/08/19 (14:17:11) | ===> btop++ v.1.2.13
2023/08/19 (14:17:11) | ERROR: Invalid size of hex value: ff00000

2023/08/19 (14:17:11) | ===> btop++ v.1.2.13
2023/08/19 (14:17:11) | ERROR: Invalid size of hex value: ff00000

2023/08/19 (14:17:11) | ===> btop++ v.1.2.13
2023/08/19 (14:17:11) | ERROR: Invalid size of hex value: ff00000

2023/08/19 (14:17:12) | ===> btop++ v.1.2.13
2023/08/19 (14:17:12) | ERROR: Invalid size of hex value: ff00000

2023/08/19 (14:17:12) | ===> btop++ v.1.2.13
2023/08/19 (14:17:12) | ERROR: Invalid size of hex value: ff00000

2023/08/19 (14:17:12) | ===> btop++ v.1.2.13
2023/08/19 (14:17:12) | ERROR: Invalid size of hex value: ff00000

2023/08/19 (14:17:13) | ===> btop++ v.1.2.13
2023/08/19 (14:17:13) | ERROR: Invalid size of hex value: ff00000

2023/08/19 (14:17:13) | ===> btop++ v.1.2.13
2023/08/19 (14:17:13) | ERROR: Invalid size of hex value: ff00000

2023/08/19 (14:17:13) | ===> btop++ v.1.2.13
2023/08/19 (14:17:13) | ERROR: Invalid size of hex value: ff00000

2023/08/19 (14:17:14) | ===> btop++ v.1.2.13
2023/08/19 (14:17:14) | ERROR: Invalid size of hex value: ff00000

2023/08/19 (14:17:14) | ===> btop++ v.1.2.13
2023/08/19 (14:17:14) | ERROR: Invalid size of hex value: ff00000

2023/08/19 (14:17:14) | ===> btop++ v.1.2.13
2023/08/19 (14:17:14) | ERROR: Invalid size of hex value: ff00000

2023/08/19 (14:17:15) | ===> btop++ v.1.2.13
2023/08/19 (14:17:15) | ERROR: Invalid size of hex value: ff00000

2023/08/19 (14:17:15) | ===> btop++ v.1.2.13
2023/08/19 (14:17:15) | ERROR: Invalid size of hex value: ff00000

2023/08/19 (14:17:15) | ===> btop++ v.1.2.13
2023/08/19 (14:17:15) | ERROR: Invalid size of hex value: ff00000

2023/08/19 (14:17:16) | ===> btop++ v.1.2.13
2023/08/19 (14:17:16) | ERROR: Invalid size of hex value: ff00000

2023/08/19 (14:17:16) | ===> btop++ v.1.2.13
2023/08/19 (14:17:16) | ERROR: Invalid size of hex value: ff00000

2023/08/19 (14:17:16) | ===> btop++ v.1.2.13
2023/08/19 (14:17:16) | ERROR: Invalid size of hex value: ff00000

2023/08/19 (14:17:17) | ===> btop++ v.1.2.13
2023/08/19 (14:17:17) | ERROR: Invalid size of hex value: ff00000

2023/08/19 (14:17:17) | ===> btop++ v.1.2.13
2023/08/19 (14:17:17) | ERROR: Invalid size of hex value: ff00000

2023/08/19 (14:17:17) | ===> btop++ v.1.2.13
2023/08/19 (14:17:17) | ERROR: Invalid size of hex value: ff00000

2023/08/19 (14:18:22) | ===> btop++ v.1.2.13
2023/08/19 (14:18:22) | ERROR: Hex value missing: #

2023/08/19 (14:18:22) | ===> btop++ v.1.2.13
2023/08/19 (14:18:22) | ERROR: Hex value missing: #

2023/08/19 (14:18:22) | ===> btop++ v.1.2.13
2023/08/19 (14:18:22) | ERROR: Hex value missing: #

2023/08/19 (14:18:23) | ===> btop++ v.1.2.13
2023/08/19 (14:18:23) | ERROR: Hex value missing: #

2023/08/19 (14:18:23) | ===> btop++ v.1.2.13
2023/08/19 (14:18:23) | ERROR: Hex value missing: #

2023/08/19 (14:18:23) | ===> btop++ v.1.2.13
2023/08/19 (14:18:23) | ERROR: Hex value missing: #

2023/08/19 (14:27:41) | ===> btop++ v.1.2.13
2023/08/19 (14:27:41) | ERROR: Invalid size of hex value: 999

2023/08/19 (14:27:41) | ===> btop++ v.1.2.13
2023/08/19 (14:27:41) | ERROR: Invalid size of hex value: 999

2023/08/19 (14:27:41) | ===> btop++ v.1.2.13
2023/08/19 (14:27:41) | ERROR: Invalid size of hex value: 999

2023/08/19 (14:27:41) | ===> btop++ v.1.2.13
2023/08/19 (14:27:41) | ERROR: Invalid size of hex value: 999

2023/08/19 (14:27:41) | ===> btop++ v.1.2.13
2023/08/19 (14:27:41) | ERROR: Invalid size of hex value: 999

2023/08/19 (14:27:41) | ===> btop++ v.1.2.13
2023/08/19 (14:27:41) | ERROR: Invalid size of hex value: 999

2023/08/19 (14:27:41) | ===> btop++ v.1.2.13
2023/08/19 (14:27:41) | ERROR: Invalid size of hex value: 999

2023/08/19 (14:27:41) | ===> btop++ v.1.2.13
2023/08/19 (14:27:41) | ERROR: Invalid size of hex value: 999

2023/08/19 (14:27:41) | ===> btop++ v.1.2.13
2023/08/19 (14:27:41) | ERROR: Invalid size of hex value: 999

2023/08/19 (14:27:41) | ===> btop++ v.1.2.13
2023/08/19 (14:27:41) | ERROR: Invalid size of hex value: 999

2023/08/19 (14:27:41) | ===> btop++ v.1.2.13
2023/08/19 (14:27:41) | ERROR: Invalid size of hex value: 999

2023/08/19 (14:27:41) | ===> btop++ v.1.2.13
2023/08/19 (14:27:41) | ERROR: Invalid size of hex value: 999

2023/08/19 (14:27:41) | ===> btop++ v.1.2.13
2023/08/19 (14:27:41) | ERROR: Invalid size of hex value: 999

2023/08/19 (14:27:41) | ===> btop++ v.1.2.13
2023/08/19 (14:27:41) | ERROR: Invalid size of hex value: 999

2023/08/19 (14:27:41) | ===> btop++ v.1.2.13
2023/08/19 (14:27:41) | ERROR: Invalid size of hex value: 999

2023/08/19 (14:27:41) | ===> btop++ v.1.2.13
2023/08/19 (14:27:41) | ERROR: Invalid size of hex value: 999

2023/08/19 (14:27:42) | ===> btop++ v.1.2.13
2023/08/19 (14:27:42) | ERROR: Invalid size of hex value: 999

2023/08/19 (14:27:42) | ===> btop++ v.1.2.13
2023/08/19 (14:27:42) | ERROR: Invalid size of hex value: 999

2023/08/19 (14:27:42) | ===> btop++ v.1.2.13
2023/08/19 (14:27:42) | ERROR: Invalid size of hex value: 999

2023/08/19 (14:27:42) | ===> btop++ v.1.2.13
2023/08/19 (14:27:42) | ERROR: Invalid size of hex value: 999

2023/08/19 (14:27:42) | ===> btop++ v.1.2.13
2023/08/19 (14:27:42) | ERROR: Invalid size of hex value: 999

2023/08/19 (14:27:42) | ===> btop++ v.1.2.13
2023/08/19 (14:27:42) | ERROR: Invalid size of hex value: 999

2023/08/19 (14:27:42) | ===> btop++ v.1.2.13
2023/08/19 (14:27:42) | ERROR: Invalid size of hex value: 999

2023/08/19 (14:27:42) | ===> btop++ v.1.2.13
2023/08/19 (14:27:42) | ERROR: Invalid size of hex value: 999

2023/08/19 (14:27:42) | ===> btop++ v.1.2.13
2023/08/19 (14:27:42) | ERROR: Invalid size of hex value: 999

2023/08/19 (14:27:42) | ===> btop++ v.1.2.13
2023/08/19 (14:27:42) | ERROR: Invalid size of hex value: 999

2023/08/19 (14:27:42) | ===> btop++ v.1.2.13
2023/08/19 (14:27:42) | ERROR: Invalid size of hex value: 999

2023/08/19 (14:27:42) | ===> btop++ v.1.2.13
2023/08/19 (14:27:42) | ERROR: Invalid size of hex value: 999

2023/08/19 (14:27:42) | ===> btop++ v.1.2.13
2023/08/19 (14:27:42) | ERROR: Invalid size of hex value: 999

2023/08/19 (14:27:42) | ===> btop++ v.1.2.13
2023/08/19 (14:27:42) | ERROR: Invalid size of hex value: 999

2023/08/19 (14:27:42) | ===> btop++ v.1.2.13
2023/08/19 (14:27:42) | ERROR: Invalid size of hex value: 999

2023/08/19 (14:27:42) | ===> btop++ v.1.2.13
2023/08/19 (14:27:42) | ERROR: Invalid size of hex value: 999

2023/08/19 (14:27:42) | ===> btop++ v.1.2.13
2023/08/19 (14:27:42) | ERROR: Invalid size of hex value: 999

2023/08/19 (14:27:42) | ===> btop++ v.1.2.13
2023/08/19 (14:27:42) | ERROR: Invalid size of hex value: 999

2023/08/19 (14:27:42) | ===> btop++ v.1.2.13
2023/08/19 (14:27:42) | ERROR: Invalid size of hex value: 999

2023/08/19 (14:27:42) | ===> btop++ v.1.2.13
2023/08/19 (14:27:42) | ERROR: Invalid size of hex value: 999

